"","FIPS","YEAR","RDEATH"
"858","20007","2011",11.662404092
"859","20009","2011",11.84714296
"860","20011","2011",12.167957711
"861","20013","2011",12.23671013
"862","20015","2011",9.1544645094
"863","20017","2011",14.766792725
"864","20019","2011",15.429122469
"865","20021","2011",12.778360732
"866","20023","2011",14.425744405
"867","20025","2011",17.13359574
"868","20027","2011",12.999941442
"869","20029","2011",13.833157339
"870","20031","2011",12.300843486
"871","20033","2011",18.04670913
"872","20035","2011",12.486046223
"873","20037","2011",11.355516995
"874","20039","2011",22.093813732
"875","20041","2011",11.860712656
"876","20043","2011",8.5427135678
"877","20045","2011",5.4274690737
"878","20047","2011",10.209122345
"879","20049","2011",14.859366708
"880","20051","2011",7.8686460683
"881","20053","2011",13.257283798
"882","20055","2011",4.8874667531
"883","20057","2011",7.253582919
"884","20059","2011",8.9118651261
"885","20061","2011",5.4439514014
"886","20063","2011",13.658176449
"887","20065","2011",12.220737063
"888","20067","2011",7.5058838496
"889","20069","2011",8.2562747688
"890","20071","2011",7.9554494829
"891","20073","2011",16.55255436
"892","20075","2011",13.098802395
"893","20077","2011",16.408539138
"894","20079","2011",11.349397243
"895","20081","2011",7.0521861777
"896","20083","2011",10.31725561
"897","20085","2011",8.7024433783
"898","20087","2011",9.8783595618
