"","FIPS","YEAR","RNETMIG"
"604","17085","2011",2.1639286345
"605","17087","2011",19.168074158
"606","17089","2011",-2.422771736
"607","17091","2011",-1.991742202
"608","17093","2011",1.8347280425
"609","17095","2011",-0.568090364
"610","17097","2011",-9.527589749
"611","17099","2011",-1.952884463
"612","17101","2011",1.1819981679
"613","17103","2011",-9.805564868
"614","17105","2011",-2.678375977
"615","17107","2011",-0.132115667
"616","17109","2011",-3.652827872
"617","17111","2011",-6.71614725
"618","17113","2011",0.2876270475
"619","17115","2011",-2.82655517
"620","17117","2011",-0.439624853
"621","17119","2011",-4.680767215
"622","17121","2011",-5.371895566
"623","17123","2011",-8.040121
"624","17125","2011",-8.927958245
"625","17127","2011",-4.174684453
"626","17129","2011",-1.102622667
"627","17131","2011",-4.705882353
"628","17133","2011",5.4072015466
"629","17135","2011",-5.603642368
"630","17137","2011",-0.197227544
"631","17139","2011",3.0287733468
"632","17141","2011",-7.982869701
"633","17143","2011",-1.227961048
"634","17145","2011",-0.269191081
"635","17147","2011",-2.096561639
"636","17149","2011",-1.343839717
"637","17151","2011",10.699955417
"638","17153","2011",-20.97093791
"639","17155","2011",-5.338672005
"640","17157","2011",-0.747507064
"641","17159","2011",-2.223320158
"642","17161","2011",-3.226385872
"643","17163","2011",-5.210945206
"644","17165","2011",2.1281294545
"645","17167","2011",3.3769565557
"646","17169","2011",-5.600373358
"647","17171","2011",-16.10458507
"648","17173","2011",-3.271195555
"649","17175","2011",-18.96537126
"650","17177","2011",-5.161752468
"651","17179","2011",0.7813191025
"652","17181","2011",-1.58089377
"653","17183","2011",-3.495774406
"654","17185","2011",-8.519611978
"655","17187","2011",6.0761202847
"656","17189","2011",-8.945643267
"657","17191","2011",-4.431270397
"658","17193","2011",2.4668516805
"659","17195","2011",-3.61388004
"660","17197","2011",-3.37145341
"661","17199","2011",3.9349974468
"662","17201","2011",-8.350248418
"663","17203","2011",1.4966776337
"664","18001","2011",-11.42242632
"665","18003","2011",1.7708299821
"666","18005","2011",6.9024462891
"667","18007","2011",-2.483210113
"668","18009","2011",-8.966846266
"669","18011","2011",12.836255018
"670","18013","2011",-6.67040914
"671","18015","2011",-8.44888425
"672","18017","2011",-6.187340342
"673","18019","2011",4.5393750253
"674","18021","2011",-1.862509545
"675","18023","2011",-8.482378688
"676","18025","2011",-7.220216606
"677","18027","2011",1.2564787184
"678","18029","2011",-3.657476341
"679","18031","2011",1.66344294
"680","18033","2011",0.7308735117
"681","18035","2011",1.23107749
"682","18037","2011",3.6161632983
"683","18039","2011",-3.568089354
"684","18041","2011",-3.465703971
"685","18043","2011",1.5632620067
"686","18045","2011",-6.040716754
"687","18047","2011",-3.1670969
"688","18049","2011",-3.273007316
"689","18051","2011",-3.667864438
"690","18053","2011",-3.440391631
"691","18055","2011",-5.766995275
"692","18057","2011",15.307370937
"693","18059","2011",-0.654292013
"694","18061","2011",-4.483048473
"695","18063","2011",13.013461499
"696","18065","2011",-4.111558949
"697","18067","2011",-1.002724269
"698","18069","2011",1.1577190243
"699","18071","2011",4.7015894179
"700","18073","2011",-5.140235793
"701","18075","2011",1.458343134
"702","18077","2011",-2.659780104
"703","18079","2011",-13.41902677
"704","18081","2011",5.7800803538
"705","18083","2011",1.951498751
"706","18085","2011",-4.331159135
"707","18087","2011",-5.172321381
"708","18089","2011",-5.350685891
"709","18091","2011",-2.95363953
"710","18093","2011",1.3659573084
"711","18095","2011",-5.681190765
